0.723805,0.091851
0.803307,0.169965
0.781913,0.836872
0.790980,0.193268
0.205423,0.799022
0.799834,0.203492
0.199134,0.778935
0.794218,0.184710
0.796343,0.786650
0.776615,0.774387
0.195473,0.202283
0.904311,0.476854
0.783274,0.816399
0.189405,0.216097
0.189205,0.202848
0.801925,0.213717
0.783226,0.214924
0.153057,0.808740
0.772753,0.802303
0.213661,0.207890
0.252103,0.212090
0.795465,0.804158
0.822945,0.766582
0.786633,0.173697
0.780205,0.807912
0.745369,0.192135
0.211108,0.211027
0.795142,0.173252
0.777169,0.797691
0.822744,0.181517
0.211632,0.239359
0.173520,0.827035
0.766957,0.802316
0.173344,0.790432
0.784955,0.199002
0.198355,0.206129
0.198971,0.824164
0.826658,0.182954
0.159714,0.770003
0.769047,0.214521
0.773802,0.196359
0.201516,0.186457
0.196669,0.785194
0.190781,0.781937
0.823902,0.201653
0.797016,0.163581
0.795091,0.788131
0.812769,0.808346
0.804637,0.809097
0.221668,0.790118
0.840929,0.818323
0.818092,0.799811
0.214412,0.792817
0.762215,0.780038
0.803919,0.795070
0.807549,0.831896
0.210687,0.201822
0.790113,0.793081
0.181674,0.183262
0.208032,0.765024
0.798251,0.769956
0.190933,0.820602
0.183524,0.189972
0.754518,0.235839
0.826263,0.834939
0.779106,0.807932
0.778127,0.196856
0.174647,0.806731
0.232477,0.160982
0.246126,0.782606
0.798269,0.787003
0.820915,0.824759
0.433296,0.223591
0.811713,0.812803
0.202170,0.765268
0.202662,0.807990
0.214737,0.194373
0.789111,0.236504
0.198996,0.823142
0.789292,0.199479
0.204588,0.204640
0.221702,0.807461
0.195740,0.788715
0.408877,0.772282
0.791344,0.195433
0.198458,0.206823
0.794737,0.840119
0.808988,0.791547
0.584098,0.649847
0.790600,0.820549
0.205547,0.197715
0.811991,0.802517
0.781043,0.231984
0.191860,0.988662
0.491230,0.397271
0.234138,0.785535
0.184804,0.185800
0.799176,0.159072
0.626110,0.090300
0.807304,0.818466
0.235745,0.191320
0.809830,0.843573
0.799479,0.187041
0.198965,0.837791
0.783439,0.800249
0.822523,0.158604
0.398765,0.835479
0.817075,0.785588
0.456166,0.519569
