0.202861,0.216992,0
0.789665,0.195337,1
0.200192,0.826964,2
0.199841,0.215341,0
0.810890,0.202280,1
0.803600,0.796927,3
0.823498,0.781288,3
0.192207,0.823184,2
0.205487,0.843242,2
0.222035,0.209840,0
0.823219,0.814402,3
0.199789,0.218723,0
0.776393,0.796588,3
0.191051,0.799759,2
0.189882,0.792053,2
-0.113834,-0.169081,-1
0.795759,0.834300,3
0.458129,1.040185,-1
0.817426,0.818043,3
1.484917,-0.004441,-1
0.766416,0.219502,1
0.216001,0.816166,2
0.781956,0.819833,3
0.774531,0.811468,3
0.203200,0.210036,0
0.791166,0.187083,1
0.752765,0.815010,3
0.519978,1.173362,-1
0.858053,0.209170,1
0.794577,0.802287,3
0.222241,0.233427,0
0.187912,0.807318,2
0.206971,0.823155,2
0.789163,0.796601,3
0.774502,0.791281,3
0.215381,0.189452,0
0.189937,0.179728,0
0.173046,0.832984,2
0.803821,0.197027,1
0.797983,0.187997,1
0.826508,0.204605,1
0.239904,0.777808,2
0.770975,0.800958,3
0.203320,0.219929,0
0.222462,0.198419,0
0.170857,0.196771,0
0.204490,0.805964,2
0.794214,0.794235,3
0.194793,0.795629,2
0.182456,0.824153,2
0.217008,0.795604,2
0.645244,0.245878,-1
0.821507,0.813407,3
0.797724,0.201431,1
0.206286,0.832473,2
0.822652,0.199615,1
0.791414,0.806643,3
0.215673,0.208847,0
0.779567,0.804160,3
-0.074590,0.869873,-1
0.225880,0.194177,0
0.804605,0.778568,3
0.201141,0.797076,2
0.798239,0.198929,1
0.809348,0.182433,1
0.843859,0.206064,1
0.179736,0.796120,2
0.178280,-0.369804,-1
0.831133,0.203036,1
0.164964,0.780701,2
0.823345,0.803208,3
0.875674,-0.418329,-1
0.792257,0.195981,1
0.092599,-0.160400,-1
0.180997,0.761045,2
0.790732,0.815068,3
0.799790,0.175462,1
0.783498,0.234527,1
0.821037,0.193451,1
0.186562,0.822095,2
0.397459,0.285836,-1
0.803382,0.797028,3
0.188013,0.224709,0
0.195263,0.197316,0
0.183312,0.198750,0
0.764518,0.217868,1
0.207362,0.752892,2
0.798729,0.830430,3
0.824993,0.839163,3
0.807151,0.161668,1
0.191363,0.826934,2
-0.247177,0.289140,-1
0.799339,0.788733,3
0.222668,0.822565,2
0.832685,0.194016,1
0.174014,0.784385,2
0.188750,0.828240,2
0.807338,0.788940,3
0.186933,0.816073,2
0.213223,0.210205,0
0.200235,0.210549,0
0.807080,0.151418,1
0.199919,0.199175,0
-0.490517,1.206739,-1
0.378070,0.968390,-1
0.226684,0.760729,2
0.191029,0.204771,0
0.836841,0.778807,3
0.201834,0.782052,2
1.269831,-0.223194,-1
0.806172,0.786659,3
0.771671,0.800042,3
0.808721,0.811676,3
0.176173,0.808759,2
0.803493,0.169281,1
0.840234,0.810781,3
0.788551,0.774504,3
0.190167,0.834519,2
0.767527,0.813955,3
0.804538,0.773431,3
0.809054,0.789816,3
0.223072,0.227727,0
0.687437,-0.448366,-1
0.220054,0.770980,2
0.754392,0.233002,1
0.206695,0.776637,2
0.786525,0.834116,3
0.789858,0.792721,3
0.820131,0.755269,3
0.783157,0.175208,1
0.792542,0.782761,3
0.228333,0.217019,0
0.771775,0.216437,1
0.843157,0.187118,1
0.194217,0.802367,2
0.209881,0.142907,0
